symbol,timestamp,mid,inventory,pnl,alpha,var_pf,es,regime,event
XYZ,0,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,0,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,1,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,1,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,2,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,2,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,3,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,3,99.99666666666667,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,4,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,4,99.99666666666667,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,5,100.00333333333333,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,5,99.99666666666667,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,6,100.00333333333333,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,6,99.99666666666667,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,7,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,7,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,8,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,8,99.99333333333334,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,9,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,9,99.99333333333334,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,10,100.00333333333333,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,10,99.99333333333334,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,11,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,11,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,12,99.99000000000001,0,0.0,0.08000000000000002,0.0,0.0,0,
ABC,12,100.0,0,0.0,0.08000000000000002,0.0,0.0,0,
XYZ,13,99.985,0,0.0,0.08000000000000002,1763.9242156181074,0.0,0,HEDGE_PF
ABC,13,100.0,-40,1342.2599553333334,0.08000000000000002,1763.9242156181074,0.0,0,HEDGE_PF
XYZ,14,99.99000000000001,0,0.0,0.08000000000000002,3408.2253811792266,0.0,0,HEDGE_PF
ABC,14,100.0,-80,951.4660398400001,0.08000000000000002,3408.2253811792266,0.0,0,HEDGE_PF
XYZ,15,99.99000000000001,0,0.0,0.08000000000000002,4950.000052799999,0.0,0,HEDGE_PF
ABC,15,100.0,-120,160.5449221866667,0.08000000000000002,4950.000052799999,0.0,0,HEDGE_PF
XYZ,16,99.985,0,0.0,0.08000000000000002,6402.940568990433,0.0,0,HEDGE_PF
ABC,16,100.0,-160,-1030.5033976266666,0.08000000000000002,6402.940568990433,0.0,0,HEDGE_PF
XYZ,17,99.985,0,0.0,0.08000000000000002,7778.174675409165,0.0,0,HEDGE_PF
ABC,17,100.0,-200,-2621.83892248,0.08000000000000002,7778.174675409165,0.0,0,HEDGE_PF
XYZ,18,99.985,0,0.0,0.08000000000000002,9084.86315717002,0.0,0,HEDGE_PF
ABC,18,100.0,-240,-4613.341650213333,0.08000000000000002,9084.86315717002,0.0,0,HEDGE_PF
XYZ,19,99.985,0,0.0,0.08000000000000002,10120.453310947978,0.0,0,HEDGE_PF
ABC,19,75.16499999999999,-240,-11040.744867493333,0.08000000000000002,10120.453310947978,0.0,0,HEDGE_PF
XYZ,20,99.985,0,0.0,0.08000000000000002,12478.288814561074,0.0,0,HEDGE_PF
ABC,20,100.0,-280,-8734.92482576,0.08000000000000002,12478.288814561074,0.0,0,HEDGE_PF
XYZ,21,99.97999999999999,0,0.0,0.08000000000000002,13927.534425959453,0.0,0,HEDGE_PF
ABC,21,100.0,-320,-9926.213149893334,0.08000000000000002,13927.534425959453,0.0,0,HEDGE_PF
XYZ,22,100.0,40,-1324.0066199999999,0.08000000000000002,15430.401546888164,0.0,0,HEDGE_PF
ABC,22,100.01,-360,-9916.879863226668,0.08000000000000002,15430.401546888164,0.0,0,HEDGE_PF
XYZ,23,100.0,80,-914.8804363999999,0.08000000000000002,16966.220900777596,0.0,0,HEDGE_PF
ABC,23,100.02,-400,-9907.54657656,0.08000000000000002,16966.220900777596,0.0,0,HEDGE_PF
XYZ,24,100.01,80,-896.2137697333333,0.08000000000000002,16614.82443989102,0.0,0,HEDGE_PF
ABC,24,100.02,-400,-9907.54657656,0.08000000000000002,16614.82443989102,0.0,0,HEDGE_PF
XYZ,25,74.99,40,-224.74714973333334,0.08000000000000002,16082.201043961915,0.0,0,HEDGE_PF
ABC,25,100.02,-400,-9907.54657656,0.08000000000000002,16082.201043961915,0.0,0,HEDGE_PF
XYZ,26,49.65,40,1131.2468466666667,0.08000000000000002,15776.72207536446,0.0,0,HEDGE_PF
ABC,26,100.02,-400,-9907.54657656,0.08000000000000002,15776.72207536446,0.0,0,HEDGE_PF
XYZ,27,50.33,40,-183.15977333333345,0.08000000000000002,15517.911071263972,0.0,0,HEDGE_PF
ABC,27,100.03,-400,-9907.54657656,0.08000000000000002,15517.911071263972,0.0,0,HEDGE_PF
XYZ,28,75.5,40,-518.7597733333336,0.08000000000000002,15243.377366860832,0.0,0,HEDGE_PF
ABC,28,100.03,-400,-9907.54657656,0.08000000000000002,15243.377366860832,0.0,0,HEDGE_PF
XYZ,29,0.0,40,1522.4381946666665,0.08000000000000002,14982.925569008119,0.0,1,HEDGE_PF
ABC,29,100.03,-400,-9907.54657656,0.08000000000000002,14982.925569008119,0.0,1,HEDGE_PF
XYZ,30,24.82,40,1881.5048426666665,0.08000000000000002,14731.221221501653,0.0,1,HEDGE_PF
ABC,30,100.03,-400,-9907.54657656,0.08000000000000002,14731.221221501653,0.0,1,HEDGE_PF
XYZ,31,37.25,40,2074.5681806666666,0.08000000000000002,14493.095570893553,0.0,0,HEDGE_PF
ABC,31,100.03,-400,-9907.54657656,0.08000000000000002,14493.095570893553,0.0,0,HEDGE_PF
XYZ,32,34.475,80,-1758.9009413333333,0.08000000000000002,14523.307449895834,0.0,0,HEDGE_PF
ABC,32,100.32,-400,-9907.54657656,0.08000000000000002,14523.307449895834,0.0,0,HEDGE_PF
XYZ,33,42.39,120,-4046.069825666667,0.08000000000000002,14695.925936815836,0.0,0,HEDGE_PF
ABC,33,0.0,-400,-8560.482604026667,0.08000000000000002,14695.925936815836,0.0,0,HEDGE_PF
XYZ,34,42.405,120,-4046.0364923333345,0.08000000000000002,14480.154972238048,0.0,0,HEDGE_PF
ABC,34,0.0,-400,-8551.14928936,0.08000000000000002,14480.154972238048,0.0,0,HEDGE_PF
XYZ,35,44.735,120,-3840.9710656666684,0.08000000000000002,14271.99356150319,0.0,0,HEDGE_PF
ABC,35,0.0,-400,-8541.815974693334,0.08000000000000002,14271.99356150319,0.0,0,HEDGE_PF
XYZ,36,13.96,100,2978.0588173333326,0.08000000000000002,13874.225965839769,0.0,0,HEDGE_PF
ABC,36,50.32,-400,-10554.615974693334,0.08000000000000002,13874.225965839769,0.0,0,HEDGE_PF
XYZ,37,13.96,100,3006.056938666666,0.08000000000000002,13687.33675260392,0.0,0,HEDGE_PF
ABC,37,0.0,-400,-7861.817334693335,0.08000000000000002,13687.33675260392,0.0,0,HEDGE_PF
XYZ,38,25.61,60,3257.5892766666657,0.08000000000000002,13213.008532046922,0.0,0,HEDGE_PF
ABC,38,50.32,-400,-10545.550668026668,0.08000000000000002,13213.008532046922,0.0,0,HEDGE_PF
XYZ,39,37.96,100,-2605.4457166666675,0.08000000000000002,13333.841239175004,0.0,0,HEDGE_PF
ABC,39,0.0,-400,-7181.818694693335,0.08000000000000002,13333.841239175004,0.0,0,HEDGE_PF
XYZ,40,37.96,140,-2596.2473766666676,0.08000000000000002,13577.064776753734,0.0,0,HEDGE_PF
ABC,40,50.32,-400,-10536.48536136,0.08000000000000002,13577.064776753734,0.0,0,HEDGE_PF
XYZ,41,37.965,180,-2588.215703333334,0.08000000000000002,13927.635438681387,0.0,0,HEDGE_PF
ABC,41,0.0,-400,-6501.820054693334,0.08000000000000002,13927.635438681387,0.0,0,HEDGE_PF
XYZ,42,37.965,220,-2579.017363333334,0.08000000000000002,14370.113119562113,0.0,0,HEDGE_PF
ABC,42,0.0,-400,-6492.486740026668,0.08000000000000002,14370.113119562113,0.0,0,HEDGE_PF
XYZ,43,37.965,260,-2569.819023333334,0.08000000000000002,14889.65713186984,0.0,0,HEDGE_PF
ABC,43,50.32,-400,-11519.820082693333,0.08000000000000002,14889.65713186984,0.0,0,HEDGE_PF
XYZ,44,25.6,240,3989.3787386666663,0.08000000000000002,14370.554461815313,0.0,0,HEDGE_PF
ABC,44,0.0,-400,-5807.821442693335,0.08000000000000002,14370.554461815313,0.0,0,HEDGE_PF
XYZ,45,25.6,240,4010.3753206666665,0.08000000000000002,14210.488840967771,0.0,0,HEDGE_PF
ABC,45,0.0,-400,-5798.488128026668,0.08000000000000002,14210.488840967771,0.0,0,HEDGE_PF
XYZ,46,25.6,220,4015.041110666667,0.08000000000000002,13733.49527568616,0.0,0,HEDGE_PF
ABC,46,50.32,-400,-12172.354794693334,0.08000000000000002,13733.49527568616,0.0,0,HEDGE_PF
XYZ,47,25.59,220,4032.9710306666675,0.08000000000000002,13587.1410721591,0.0,0,HEDGE_PF
ABC,47,50.32,-400,-12172.354794693334,0.08000000000000002,13587.1410721591,0.0,0,HEDGE_PF
XYZ,48,25.59,220,4051.634284000001,0.08000000000000002,13445.364166041387,0.0,0,HEDGE_PF
ABC,48,0.0,-400,-5458.488808026668,0.08000000000000002,13445.364166041387,0.0,0,HEDGE_PF
XYZ,49,25.61,180,4062.2991973333337,0.08000000000000002,12745.925028088606,0.0,0,HEDGE_PF
ABC,49,0.0,-400,-5458.488808026668,0.08000000000000002,12745.925028088606,0.0,0,HEDGE_PF
XYZ,50,25.59,220,4070.2975373333343,0.056000000000000015,13307.935195916023,0.0,0,HEDGE_PF
ABC,50,0.0,-400,-5458.488808026668,0.056000000000000015,13307.935195916023,0.0,0,HEDGE_PF
XYZ,51,25.6,200,4075.696660666667,0.056000000000000015,13016.158412056726,0.0,0,HEDGE_PF
ABC,51,0.0,-400,-5458.488808026668,0.056000000000000015,13016.158412056726,0.0,0,HEDGE_PF
XYZ,52,25.61,160,4085.5615740000007,0.056000000000000015,12498.636774490744,0.0,0,HEDGE_PF
ABC,52,0.0,-400,-5458.488808026668,0.056000000000000015,12498.636774490744,0.0,0,HEDGE_PF
XYZ,53,25.6,180,4089.694077333334,0.056000000000000015,12745.9292532261,0.0,0,HEDGE_PF
ABC,53,0.0,-400,-5458.488808026668,0.056000000000000015,12745.9292532261,0.0,0,HEDGE_PF
XYZ,54,25.61,140,4099.492324000001,0.056000000000000015,12275.671972655568,0.0,0,HEDGE_PF
ABC,54,0.0,-400,-5458.488808026668,0.056000000000000015,12275.671972655568,0.0,0,HEDGE_PF
XYZ,55,25.59,180,4107.757330666667,0.056000000000000015,12745.929281473296,0.0,0,HEDGE_PF
ABC,55,0.0,-400,-5458.488808026668,0.056000000000000015,12745.929281473296,0.0,0,HEDGE_PF
XYZ,56,25.6,180,4127.020584000001,0.056000000000000015,12745.929281473296,0.0,0,HEDGE_PF
ABC,56,0.0,-400,-5458.488808026668,0.056000000000000015,12745.929281473296,0.0,0,HEDGE_PF
XYZ,57,25.59,220,4135.618924000001,0.056000000000000015,13307.92296161154,0.0,0,HEDGE_PF
ABC,57,0.0,-400,-5458.488808026668,0.056000000000000015,13307.92296161154,0.0,0,HEDGE_PF
XYZ,58,25.6,240,4141.018094000001,0.056000000000000015,13619.857772443975,0.0,0,HEDGE_PF
ABC,58,0.0,-400,-5458.488808026668,0.056000000000000015,13619.857772443975,0.0,0,HEDGE_PF
XYZ,59,25.61,200,4151.016340666668,0.056000000000000015,13016.149798973674,0.0,0,HEDGE_PF
ABC,59,0.0,-400,-5458.488808026668,0.056000000000000015,13016.149798973674,0.0,0,HEDGE_PF
XYZ,60,25.6,180,4155.015464000001,0.056000000000000015,12745.925025821854,0.0,0,HEDGE_PF
ABC,60,0.0,-400,-5458.488808026668,0.056000000000000015,12745.925025821854,0.0,0,HEDGE_PF
XYZ,61,25.62,140,4165.280377333334,0.056000000000000015,12275.664419731213,0.0,0,HEDGE_PF
ABC,61,0.0,-400,-5458.488808026668,0.056000000000000015,12275.664419731213,0.0,0,HEDGE_PF
XYZ,62,25.59,180,4172.412047333334,0.056000000000000015,12745.925110563463,0.0,0,HEDGE_PF
ABC,62,0.0,-400,-5458.488808026668,0.056000000000000015,12745.925110563463,0.0,0,HEDGE_PF
XYZ,63,25.62,140,4183.276960666667,0.056000000000000015,7915.347795836264,0.0,0,HEDGE_PF
ABC,63,0.0,-400,-5458.488808026668,0.056000000000000015,7915.347795836264,0.0,0,HEDGE_PF
XYZ,64,25.59,180,4190.408630666668,0.056000000000000015,8611.402276496636,0.0,0,HEDGE_PF
ABC,64,0.0,-400,-5458.488808026668,0.056000000000000015,8611.402276496636,0.0,0,HEDGE_PF
XYZ,65,25.59,220,4199.606970666668,0.056000000000000015,9409.346847936007,0.0,0,HEDGE_PF
ABC,65,0.0,-400,-5458.488808026668,0.056000000000000015,9409.346847936007,0.0,0,HEDGE_PF
XYZ,66,25.6,220,4219.003557333334,0.056000000000000015,9409.35535096503,0.0,0,HEDGE_PF
ABC,66,0.0,-400,-5458.488808026668,0.056000000000000015,9409.35535096503,0.0,0,HEDGE_PF
XYZ,67,25.6,180,4228.335137333335,0.056000000000000015,8611.408496046435,0.0,0,HEDGE_PF
ABC,67,0.0,-400,-5458.488808026668,0.056000000000000015,8611.408496046435,0.0,0,HEDGE_PF
XYZ,68,25.6,160,4242.332554000001,0.056000000000000015,8248.940614159223,0.0,0,HEDGE_PF
ABC,68,0.0,-400,-5458.488808026668,0.056000000000000015,8248.940614159223,0.0,0,HEDGE_PF
XYZ,69,25.6,160,4242.332554000001,0.056000000000000015,6753.385947719207,0.0,0,HEDGE_PF
ABC,69,0.0,-400,-5458.488808026668,0.056000000000000015,6753.385947719207,0.0,0,HEDGE_PF
XYZ,70,25.6,160,4260.9958073333355,0.056000000000000015,4796.600768870133,0.0,0,HEDGE_PF
ABC,70,0.0,-400,-5458.488808026668,0.056000000000000015,4796.600768870133,0.0,0,HEDGE_PF
XYZ,71,25.59,200,4269.660814000002,0.056000000000000015,5995.750961087666,0.0,0,HEDGE_PF
ABC,71,0.0,-400,-5458.488808026668,0.056000000000000015,5995.750961087666,0.0,0,HEDGE_PF
XYZ,72,25.59,240,4278.8591540000025,0.056000000000000015,4483.417642626715,0.0,1,HEDGE_PF
ABC,72,0.0,-400,-5458.488808026668,0.056000000000000015,4483.417642626715,0.0,1,HEDGE_PF
XYZ,73,25.61,240,4299.122407333335,0.056000000000000015,4483.410475927868,0.0,1,HEDGE_PF
ABC,73,0.0,-400,-5458.488808026668,0.056000000000000015,4483.410475927868,0.0,1,HEDGE_PF
XYZ,74,25.59,280,4306.720747333336,0.056000000000000015,5230.654249511049,0.0,1,HEDGE_PF
ABC,74,0.0,-400,-5458.488808026668,0.056000000000000015,5230.654249511049,0.0,1,HEDGE_PF
XYZ,75,62.46,280,7766.5840006666685,0.056000000000000015,4752.01576664051,0.0,1,HEDGE_PF
ABC,75,0.0,-400,-5458.488808026668,0.056000000000000015,4752.01576664051,0.0,1,HEDGE_PF
XYZ,76,62.45,300,7779.644445666668,0.056000000000000015,5091.44546425769,0.0,1,HEDGE_PF
ABC,76,0.0,-400,-5458.488808026668,0.056000000000000015,5091.44546425769,0.0,1,HEDGE_PF
XYZ,77,44.02,300,5955.302785666668,0.056000000000000015,3888.0630598202456,0.0,1,HEDGE_PF
ABC,77,0.0,-400,-5458.488808026668,0.056000000000000015,3888.0630598202456,0.0,1,HEDGE_PF
XYZ,78,71.7,280,8552.298360666668,0.056000000000000015,4028.2813306917874,0.0,1,HEDGE_PF
ABC,78,0.0,-400,-5458.488808026668,0.056000000000000015,4028.2813306917874,0.0,1,HEDGE_PF
XYZ,79,85.52,240,9667.226867333333,0.056000000000000015,3520.5071714534747,0.0,1,HEDGE_PF
ABC,79,0.0,-400,-5458.488808026668,0.056000000000000015,3520.5071714534747,0.0,1,HEDGE_PF
XYZ,80,64.78,240,8026.015464000001,0.056000000000000015,3487.6232804130873,0.0,1,HEDGE_PF
ABC,80,0.0,-400,-5458.488808026668,0.056000000000000015,3487.6232804130873,0.0,1,HEDGE_PF
XYZ,81,45.16,260,6339.142342333333,0.056000000000000015,3905.893507834543,0.0,1,HEDGE_PF
ABC,81,0.0,-400,-5458.488808026668,0.056000000000000015,3905.893507834543,0.0,1,HEDGE_PF
XYZ,82,45.16,240,6353.071137333333,0.056000000000000015,3441.999379504882,0.0,1,HEDGE_PF
ABC,82,0.0,-400,-5458.488808026668,0.056000000000000015,3441.999379504882,0.0,1,HEDGE_PF
XYZ,83,65.34,200,7707.601414,0.056000000000000015,2971.553036401494,0.0,1,HEDGE_PF
ABC,83,0.0,-400,-5458.488808026668,0.056000000000000015,2971.553036401494,0.0,1,HEDGE_PF
XYZ,84,65.33,200,7725.592700666667,0.056000000000000015,2971.5780740199166,0.0,1,HEDGE_PF
ABC,84,0.0,-400,-5458.488808026668,0.056000000000000015,2971.5780740199166,0.0,1,HEDGE_PF
XYZ,85,62.46,200,7552.250657333333,0.056000000000000015,2972.4243982421663,0.0,1,HEDGE_PF
ABC,85,0.0,-400,-5458.488808026668,0.056000000000000015,2972.4243982421663,0.0,1,HEDGE_PF
XYZ,86,44.02,220,6214.044435666668,0.056000000000000015,3418.0462301886405,0.0,1,HEDGE_PF
ABC,86,0.0,-400,-5458.488808026668,0.056000000000000015,3418.0462301886405,0.0,1,HEDGE_PF
XYZ,87,44.03,240,6219.309657333334,0.056000000000000015,3728.7725877472535,0.0,1,HEDGE_PF
ABC,87,0.0,-400,-5458.488808026668,0.056000000000000015,3728.7725877472535,0.0,1,HEDGE_PF
XYZ,88,34.79,260,5432.038610666667,0.056000000000000015,4023.69104112952,0.0,1,HEDGE_PF
ABC,88,0.0,-400,-5458.488808026668,0.056000000000000015,4023.69104112952,0.0,1,HEDGE_PF
XYZ,89,34.8,260,5451.567304,0.056000000000000015,4023.685751230565,0.0,1,HEDGE_PF
ABC,89,0.0,-400,-5458.488808026668,0.056000000000000015,4023.685751230565,0.0,1,HEDGE_PF
XYZ,90,34.8,260,5470.229330666668,0.056000000000000015,4023.685751230565,0.0,1,HEDGE_PF
ABC,90,0.0,-400,-5458.488808026668,0.056000000000000015,4023.685751230565,0.0,1,HEDGE_PF
XYZ,91,39.41,220,5817.626964,0.056000000000000015,3412.2032123041754,0.0,1,HEDGE_PF
ABC,91,0.0,-400,-5458.488808026668,0.056000000000000015,3412.2032123041754,0.0,1,HEDGE_PF
XYZ,92,39.4,240,5821.559007333334,0.056000000000000015,3722.4059228003243,0.0,0,HEDGE_PF
ABC,92,0.0,-400,-5458.488808026668,0.056000000000000015,3722.4059228003243,0.0,0,HEDGE_PF
XYZ,93,39.41,240,5841.020420666668,0.056000000000000015,3722.4035903065624,0.0,0,HEDGE_PF
ABC,93,0.0,-400,-5458.488808026668,0.056000000000000015,3722.4035903065624,0.0,0,HEDGE_PF
XYZ,94,41.72,200,6004.217747333333,0.056000000000000015,3103.4208067898758,0.0,0,HEDGE_PF
ABC,94,0.0,-400,-5458.488808026668,0.056000000000000015,3103.4208067898758,0.0,0,HEDGE_PF
XYZ,95,70.55,160,7550.881587333334,0.056000000000000015,2701.1336483750065,0.0,0,HEDGE_PF
ABC,95,0.0,-400,-5458.488808026668,0.056000000000000015,2701.1336483750065,0.0,0,HEDGE_PF
XYZ,96,67.06,160,7383.405514000001,0.056000000000000015,2705.9243254246894,0.0,0,HEDGE_PF
ABC,96,0.0,-400,-5458.488808026668,0.056000000000000015,2705.9243254246894,0.0,0,HEDGE_PF
XYZ,97,67.06,160,7402.063240666667,0.056000000000000015,2705.9199399286576,0.0,0,HEDGE_PF
ABC,97,0.0,-400,-5458.488808026668,0.056000000000000015,2705.9199399286576,0.0,0,HEDGE_PF
XYZ,98,83.2,120,8056.858724000001,0.056000000000000015,2073.995768064051,0.0,0,HEDGE_PF
ABC,98,0.0,-400,-5458.488808026668,0.056000000000000015,2073.995768064051,0.0,0,HEDGE_PF
XYZ,99,67.06,120,7429.914297333334,0.056000000000000015,2129.6700773488606,-41.71999999999999,0,HEDGE_PF
ABC,99,0.0,-400,-5458.488808026668,0.056000000000000015,2129.6700773488606,-1.5340816326530613,0,HEDGE_PF
XYZ,100,83.2,100,7981.840902333333,0.07840000000000003,1810.1372907625496,-41.71999999999999,0,HEDGE_PF
ABC,100,0.0,-400,-5458.488808026668,0.07840000000000003,1810.1372907625496,-1.5340816326530613,0,HEDGE_PF
XYZ,101,91.28,80,8211.299225666668,0.07840000000000003,1453.6717093414713,-41.71999999999999,0,
ABC,101,0.0,-400,-5458.488808026668,0.07840000000000003,1453.6717093414713,-1.534081632653061,0,
XYZ,102,91.3,60,8216.496159,0.07840000000000003,1090.2513993793038,-41.71999999999999,0,
ABC,102,0.0,-400,-5458.488808026668,0.07840000000000003,1090.2513993793038,-1.534081632653061,0,
XYZ,103,95.32,20,8252.623359,0.07840000000000003,363.57751301246134,-41.71999999999999,0,
ABC,103,0.0,-400,-5458.488808026668,0.07840000000000003,363.57751301246134,-1.5340816326530613,0,
XYZ,104,93.29,60,8220.950382333334,0.07840000000000003,1091.6240260361753,-41.71999999999999,0,
ABC,104,0.0,-400,-5458.488808026668,0.07840000000000003,1091.6240260361753,-1.5340816326530613,0,
XYZ,105,96.32,20,8250.610782333335,0.07840000000000003,363.8971966046095,-41.71999999999999,1,
ABC,105,0.0,-400,-5458.488808026668,0.07840000000000003,363.8971966046095,-1.534081632653061,1,
XYZ,106,95.31,20,8261.864605666668,0.07840000000000003,364.0158118903123,-41.71999999999999,1,
ABC,106,0.0,-400,-5458.488808026668,0.07840000000000003,364.0158118903123,-1.534081632653061,1,
XYZ,107,91.27,20,8253.585232333333,0.07840000000000003,364.84623006747506,-41.71999999999999,1,
ABC,107,0.0,-400,-5458.488808026668,0.07840000000000003,364.84623006747506,-1.5340816326530613,1,
XYZ,108,87.21,20,8244.506395666665,0.07840000000000003,365.6629403342897,-41.71999999999999,1,
ABC,108,0.0,-400,-5458.488808026668,0.07840000000000003,365.6629403342897,-1.5185858585858587,1,
XYZ,109,91.25,20,8290.094769000001,0.07840000000000003,365.8472096356675,-41.71999999999999,1,
ABC,109,0.0,-400,-5458.488808026668,0.07840000000000003,365.8472096356675,-1.5184848484848483,1,
XYZ,110,63.0,20,8120.415935666667,0.07840000000000003,390.9911877758466,-41.71999999999999,1,
ABC,110,0.0,-400,-5458.488808026668,0.07840000000000003,390.9911877758466,-1.5184848484848483,1,
